word,time_last_seen,correct_uses,total_uses,user_correct_uses,user_total_uses,system_correct_uses,system_total_uses,next_due,EF,interval,repetitions
cajole,1750778646350,3,3,,,,,0,2.5,1,0
hackneyed,1750777974784,1,1,,,,,0,2.5,1,0
austere,1750777814151,1,1,,,,,0,2.5,1,0
precocious,1750778531705,2,2,,,,,0,2.5,1,0
circumspect,1750778411713,1,1,,,,,0,2.5,1,0
disparage,1750778633921,3,3,,,,,0,2.5,1,0
garrulous,1750778612605,1,1,,,,,0,2.5,1,0
capricious,1750777934392,1,1,,,,,0,2.5,1,0
cacophony,1750777914687,1,1,,,,,0,2.5,1,0
abrogate,1750777739716,1,1,,,,,0,2.5,1,0
